year,page,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,20,21.1,41.3,29.6,23.9,13.6,13.5,12.1,15.6,18.8,21.1,26.3,35.7
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,21,23.0,22.5,30.3,24.6,14.2,14.1,14.5,17.6,17.5,23.7,18.2,39.2
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,22,30.3,17.4,19.5,23.2,13.5,15.3,13.7,19.9,21.5,28.0,17.2,40.5
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,23,20.4,20.0,21.5,19.3,17.1,13.7,12.5,21.2,22.5,25.5,17.5,19.7
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,24,20.6,20.7,21.6,18.2,18.8,15.7,11.9,17.2,27.4,16.4,18.0,28.2
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,25,26.2,19.3,21.0,19.3,20.6,17.5,9.4,13.4,18.2,18.2,21.5,24.0
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,26,21.0,31.3,20.7,16.2,20.4,17.5,17.5,14.3,18.6,28.0,33.5,26.3
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,27,23.0,25.2,20.6,14.7,18.2,13.8,13.4,13.3,17.9,24.0,31.3,29.5
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,28,33.3,23.3,21.4,14.0,17.1,12.4,15.4,18.7,25.7,16.6,26.1,33.5
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,29,25.8,20.7,21.5,18.8,16.7,13.6,14.8,19.7,28.7,18.0,20.5,20.0
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,30,24.6,,19.0,16.3,16.7,13.6,13.6,23.2,29.1,18.2,18.7,24.0
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,31,32.4,,21.0,,18.2,,15.2,15.7,,17.7,,36.0
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,1,38.3,29.4,34.7,27.2,23.7,17.5,15.3,13.9,14.2,21.0,22.0,20.4
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,2,30.3,36.6,27.5,29.8,24.5,13.3,14.5,13.6,15.8,20.5,25.8,27.3
1981,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1981&p_c=-1514873801&p_stn_num=087031,3,33.2,38.5,25.0,30.2,18.0,16.7,11.5,13.4,15.3,14.2,29.0,22.0
